well_id,timestamp,depth_md,depth_tvd,rop,wob,rpm,torque,mud_weight,ecd,mse,d_xc
OIL-BAGHJAN-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-BAGHJAN-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-BAGHJAN-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-BAGHJAN-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-BAGHJAN-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-NAHARKATIYA-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-NAHARKATIYA-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-NAHARKATIYA-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-NAHARKATIYA-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-NAHARKATIYA-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-MORAN-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-MORAN-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-MORAN-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-MORAN-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-MORAN-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-DIKOM-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-DIKOM-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-DIKOM-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-DIKOM-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-DIKOM-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-TENGAKHAT-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-TENGAKHAT-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-TENGAKHAT-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-TENGAKHAT-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-TENGAKHAT-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-KOTHALONI-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-KOTHALONI-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-KOTHALONI-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-KOTHALONI-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-KOTHALONI-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-HAPJAN-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-HAPJAN-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-HAPJAN-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-HAPJAN-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-HAPJAN-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
OIL-SHALMARI-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239
OIL-SHALMARI-1,2024-01-01 00:01:00,2880,2860,22.099999999999998,15.5,83,21800.0,1.17,1.21,473.96,8.231
OIL-SHALMARI-1,2024-01-01 00:02:00,2890,2870,21.299999999999997,15.6,82,22300.0,1.17,1.22,496.97,8.225
OIL-SHALMARI-1,2024-01-01 00:03:00,2900,2880,20.5,15.700000000000001,81,22800.0,1.17,1.23,521.49,8.222
OIL-SHALMARI-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221
