event_id,well_id,depth_start_tvd,depth_end_tvd,formation,event_type,severity,root_cause,mitigation_applied,npt_hours
EVT-0001,OIL-BAGHJAN-1,1062.53,1097.28,Tipam,Lost Circulation,Medium,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,7.6
EVT-0002,OIL-BAGHJAN-1,2691.75,2782.04,Kopili,Lost Circulation,Low,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,28.8
EVT-0003,OIL-BAGHJAN-1,1074.49,1104.17,Tipam,Lost Circulation,Low,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,27.4
EVT-0004,OIL-NAHARKATIYA-1,2048.8,2099.23,Barail,Wellbore Instability,High,Synthetic cause for Wellbore Instability,Standard mitigation for Wellbore Instability,39.0
EVT-0005,OIL-NAHARKATIYA-1,2897.02,2921.39,Kopili,Lost Circulation,Critical,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,17.0
EVT-0006,OIL-NAHARKATIYA-1,1538.28,1617.0,Barail,Kick,Low,Synthetic cause for Kick,Standard mitigation for Kick,5.4
EVT-0007,OIL-MORAN-1,3118.74,3183.07,Kopili,Stuck Pipe,Low,Synthetic cause for Stuck Pipe,Standard mitigation for Stuck Pipe,35.3
EVT-0008,OIL-DIKOM-1,3432.79,3476.86,Kopili,Lost Circulation,High,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,40.0
EVT-0009,OIL-DIKOM-1,3213.63,3256.18,Kopili,Wellbore Instability,Medium,Synthetic cause for Wellbore Instability,Standard mitigation for Wellbore Instability,34.1
EVT-0010,OIL-DIKOM-1,2653.16,2732.73,Kopili,Lost Circulation,Low,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,41.2
EVT-0011,OIL-TENGAKHAT-1,1694.93,1762.15,Barail,Equipment Failure,High,Synthetic cause for Equipment Failure,Standard mitigation for Equipment Failure,8.6
EVT-0012,OIL-KOTHALONI-1,2675.44,2748.6,Kopili,Kick,Low,Synthetic cause for Kick,Standard mitigation for Kick,29.6
EVT-0013,OIL-KOTHALONI-1,2335.35,2367.38,Barail,Kick,Critical,Synthetic cause for Kick,Standard mitigation for Kick,18.8
EVT-0014,OIL-HAPJAN-1,1549.04,1588.22,Barail,Wellbore Instability,Low,Synthetic cause for Wellbore Instability,Standard mitigation for Wellbore Instability,11.8
EVT-0015,OIL-HAPJAN-1,3012.61,3058.72,Kopili,Lost Circulation,Low,Synthetic cause for Lost Circulation,Standard mitigation for Lost Circulation,10.9
EVT-0016,OIL-HAPJAN-1,3190.92,3229.24,Kopili,Wellbore Instability,Critical,Synthetic cause for Wellbore Instability,Standard mitigation for Wellbore Instability,19.6
EVT-0017,OIL-SHALMARI-1,1357.18,1379.75,Tipam,Equipment Failure,High,Synthetic cause for Equipment Failure,Standard mitigation for Equipment Failure,36.1
EVT-0018,OIL-SHALMARI-1,3244.56,3290.5,Kopili,Equipment Failure,Medium,Synthetic cause for Equipment Failure,Standard mitigation for Equipment Failure,47.9
EVT-0019,OIL-SHALMARI-1,2273.82,2292.0,Barail,Kick,Low,Synthetic cause for Kick,Standard mitigation for Kick,41.5
