well_id,field_name,surface_lat,surface_lon,kb_elevation,total_depth_tvd,spud_date
OIL-BAGHJAN-1,Upper Assam,27.58,95.37,35.0,3520,2024-01-10
OIL-BAGHJAN-4,Baghjan Field,27.417,95.187,38.0,3540,2024-01-20
OIL-NAHARKATIYA-1,Upper Assam,27.28,95.33,40.5,3490,2024-02-15
OIL-MORAN-1,Upper Assam,27.18,94.93,30.0,3600,2024-03-05
OIL-DIKOM-1,Upper Assam,27.43,95.07,38.0,3550,2024-04-12
OIL-TENGAKHAT-1,Upper Assam,27.30,95.25,42.0,3650,2024-05-20
OIL-KOTHALONI-1,Upper Assam,27.35,95.35,37.5,3700,2024-06-18
OIL-HAPJAN-1,Upper Assam,27.45,95.40,36.0,3450,2024-07-22
OIL-SHALMARI-1,Upper Assam,27.38,95.12,39.0,3800,2024-08-11
OIL-KUSIJAN-1,Upper Assam,27.52,95.42,36.5,3580,2024-08-25
OIL-HEBEDA-1,Upper Assam,27.32,95.28,41.0,3620,2024-09-02
OIL-RAJ-BAGHEWALA-1,Rajasthan Basin,27.95,72.10,180.0,3100,2024-03-15
OIL-RAJ-BAGHEWALA-2,Rajasthan Basin,27.98,72.15,182.0,3180,2024-04-02
OIL-RAJ-TANOT-1,Rajasthan Basin,27.30,70.80,140.0,2900,2024-04-10
OIL-RAJ-TANOT-2,Rajasthan Basin,27.35,70.85,142.0,2950,2024-05-18
OIL-RAJ-DANDEWALA-1,Rajasthan Basin,27.48,71.02,145.0,3050,2024-06-05
OIL-KG-DEEPWATER-1,KG Deepwater,16.25,82.40,25.0,4500,2024-05-01
OIL-KG-DWN-98-2,KG Deepwater,16.35,82.52,28.0,4680,2024-05-25
OIL-KG-D6-OFFSHORE,KG Deepwater,16.12,82.60,30.0,4850,2024-06-15
OIL-KG-YANAM-1,KG Deepwater,16.65,82.25,15.0,4100,2024-07-01
OIL-KG-AMALAPURAM-1,KG Deepwater,16.58,82.02,12.0,3950,2024-07-20
OIL-MZ-AIZAWL-1,Mizoram Fold Belt,23.72,92.70,950.0,4200,2024-06-12
OIL-MZ-MAMIT-1,Mizoram Fold Belt,23.93,92.49,880.0,4350,2024-07-05
OIL-MZ-KOLASIB-1,Mizoram Fold Belt,24.23,92.68,720.0,4100,2024-07-22
OIL-MZ-LUNGLEI-1,Mizoram Fold Belt,22.88,92.74,1020.0,4400,2024-08-08
OIL-MZ-CHAMPHAI-1,Mizoram Fold Belt,23.47,93.33,1150.0,4500,2024-08-28
